round,accuracy,auc,precision,recall
1,0.7234449982643127,0.0,1.0,0.7234449982643127
2,0.7291865944862366,0.0,1.0,0.7291865944862366
3,0.7473683953285217,0.0,1.0,0.7473683953285217
4,0.738756000995636,0.0,1.0,0.738756000995636
5,0.7244018912315369,0.0,1.0,0.7244018912315369
6,0.7425837516784668,0.0,1.0,0.7425837516784668
7,0.7435406446456909,0.0,1.0,0.7435406446456909
8,0.7272727489471436,0.0,1.0,0.7272727489471436
9,0.7435406446456909,0.0,1.0,0.7435406446456909
10,0.7291865944862366,0.0,1.0,0.7291865944862366
